Asteroids	platforms	Arcade, [[#Ports
Bokosuka Wars	platforms	Nintendo Entertainment System
Bokosuka Wars	platforms	I-Mode
Bokosuka Wars	platforms	Virtual Console
Star Fire	platforms	Arcade game
Star Fire	platforms	Atari 8-bit family
Star Fire	platforms	Commodore 64
Rygar: The Legendary Adventure	platforms	PlayStation 2
Rygar: The Legendary Adventure	platforms	Wii
Dilton Marsh railway station	platforms	2
Shenfield railway station	platforms	5
Askam railway station	platforms	2
Burnley Manchester Road railway station	platforms	2
Hebden Bridge railway station	platforms	2
Red Baron	platforms	Arcade game
Black Widow	platforms	Arcade Game
The Lord of the Rings: The Two Towers	platforms	PlayStation 2
The Lord of the Rings: The Two Towers	platforms	Xbox
The Lord of the Rings: The Two Towers	platforms	GameCube
The Lord of the Rings: The Two Towers	platforms	Game Boy Advance
The Lord of the Rings: The Two Towers	platforms	Mobile game
Pontypridd railway station	platforms	3
Conisbrough railway station	platforms	2
Airport Tycoon	platforms	Microsoft Windows
G1 Jockey	platforms	PlayStation 2
G1 Jockey	platforms	PlayStation 3
Sonic the Hedgehog	platforms	PlayStation 3
Sonic the Hedgehog	platforms	Xbox 360
Newton St Cyres railway station	platforms	1
Leicester Central railway station	platforms	6
Leicester Belgrave Road railway station	platforms	5
Cadillacs and Dinosaurs	platforms	Arcade game
Barnetby railway station	platforms	4
Crazy Arcade	platforms	Microsoft Windows
Okehampton railway station	platforms	2
Habrough railway station	platforms	2
Cleethorpes railway station	platforms	3
Grimsby Town railway station	platforms	3
Bentley	platforms	2
South Elmsall railway station	platforms	2
Market Rasen railway station	platforms	2
Adwick railway station	platforms	2
Chinley railway station	platforms	2
Every Extend Extra	platforms	Microsoft Windows
Every Extend Extra	platforms	PlayStation Portable
Every Extend Extra	platforms	Xbox 360
SonSon	platforms	Arcade game
SonSon	platforms	Nintendo Entertainment System
Mixed-Up Mother Goose	platforms	MS-DOS
Mixed-Up Mother Goose	platforms	Microsoft Windows
Mixed-Up Mother Goose	platforms	Amiga
Mixed-Up Mother Goose	platforms	Apple II
Mixed-Up Mother Goose	platforms	Apple IIGS
Mixed-Up Mother Goose	platforms	Atari ST
Mixed-Up Mother Goose	platforms	Macintosh
Mixed-Up Mother Goose	platforms	FM Towns
Baten Kaitos Origins	platforms	Nintendo GameCube
Birkenhead Hamilton Square railway station	platforms	3
Earl Weaver Baseball	platforms	Commodore Amiga
Earl Weaver Baseball	platforms	DOS
Earl Weaver Baseball	platforms	Apple II series
Scooby-Doo! Mystery Mayhem	platforms	Game Boy Advance
Scooby-Doo! Mystery Mayhem	platforms	Nintendo GameCube
Scooby-Doo! Mystery Mayhem	platforms	PlayStation 2
Scooby-Doo! Mystery Mayhem	platforms	Xbox
Bank Panic	platforms	Arcade Game, SG-1000, MSX , Sega Master System, Amstrad CPC, Commodore 64, ZX Spectrum as West Bank, 1991 Atari XL/XE in Poland as Bang Bank! by Mirage and Our Soft
Black & White: Creature Isle	platforms	Microsoft Windows
Black & White: Creature Isle	platforms	Personal computer
Black & White: Creature Isle	platforms	Macintosh
Bushido Blade 2	platforms	PlayStation
Bushido Blade 2	platforms	PlayStation Network
Ninety-Nine Nights	platforms	Xbox 360
Bill Elliott's NASCAR Challenge	platforms	DOS
Bill Elliott's NASCAR Challenge	platforms	Amiga
Bill Elliott's NASCAR Challenge	platforms	Macintosh
Bill Elliott's NASCAR Challenge	platforms	Nintendo Entertainment System
Bill Elliott's NASCAR Challenge	platforms	Game Boy
Bill Elliott's NASCAR Challenge	platforms	Handheld electronic game
7 Sins	platforms	Personal computer
7 Sins	platforms	PlayStation 2
Arachnophobia	platforms	Amiga
Arachnophobia	platforms	Amstrad CPC
Arachnophobia	platforms	Commodore 64
Arachnophobia	platforms	MS-DOS
NightCaster	platforms	Xbox
Jikkyō Oshaberi Parodius	platforms	Super Nintendo Entertainment System
Jikkyō Oshaberi Parodius	platforms	Sega Saturn
Jikkyō Oshaberi Parodius	platforms	PlayStation
Jikkyō Oshaberi Parodius	platforms	PlayStation Portable
Mission: Impossible	platforms	Nintendo 64
Mission: Impossible	platforms	PlayStation
Mission: Impossible	platforms	Game Boy Color
Contra: Hard Corps	platforms	Sega Mega Drive
Heart of China	platforms	Amiga
Heart of China	platforms	DOS
Heart of China	platforms	Macintosh
Madō Monogatari: Hanamaru Daiyōchienji	platforms	Super Nintendo Entertainment System
Hathersage railway station	platforms	2
Bamford railway station	platforms	2
Grindleford railway station	platforms	2
Trantor: The Last Stormtrooper	platforms	ZX Spectrum
Trantor: The Last Stormtrooper	platforms	Commodore 64
Trantor: The Last Stormtrooper	platforms	Amstrad CPC
Trantor: The Last Stormtrooper	platforms	Atari ST
Trantor: The Last Stormtrooper	platforms	DOS
Trantor: The Last Stormtrooper	platforms	MSX
Dungeon Siege: Legends of Aranna	platforms	Microsoft Windows
Dungeon Siege: Legends of Aranna	platforms	Mac OS X
Rocket Ranger	platforms	Amiga
Rocket Ranger	platforms	DOS
Rocket Ranger	platforms	Commodore 64
Rocket Ranger	platforms	Apple IIGS
Rocket Ranger	platforms	Atari ST
Rocket Ranger	platforms	NES
Smethwick Galton Bridge railway station	platforms	4
Beyond the Beyond	platforms	PlayStation
Kirk Sandall railway station	platforms	2
Thorne South railway station	platforms	2
Thorne North railway station	platforms	2
Hatfield and Stainforth railway station	platforms	2
Crowle railway station	platforms	2
Saltash railway station	platforms	2
Althorpe railway station	platforms	2
Goole railway station	platforms	2
Arx Fatalis	platforms	Microsoft Windows
Arx Fatalis	platforms	Xbox
Generation	platforms	Personal computer
Generation	platforms	Amiga
Generation	platforms	Amiga CD32
Generation	platforms	Atari ST
Dove Holes railway station	platforms	2
Buxton railway station	platforms	2
Furness Vale railway station	platforms	2
Chapel-en-le-Frith railway station	platforms	2
New Mills Newtown railway station	platforms	2
Whaley Bridge railway station	platforms	2
Disley railway station	platforms	2
Middlewood railway station	platforms	2
New Mills Central railway station	platforms	2
Hazel Grove railway station	platforms	2
Marathon 2: Durandal	platforms	Mac OS, Windows, Apple Pippin, Xbox Live Arcade; Mac OS X and Linux through Aleph One project
Viewtiful Joe: Red Hot Rumble	platforms	Nintendo GameCube
Viewtiful Joe: Red Hot Rumble	platforms	PlayStation Portable
Airburst	platforms	Mac OS, Xbox 360
Call of Duty 3	platforms	Xbox 360
Call of Duty 3	platforms	Xbox
Call of Duty 3	platforms	PlayStation 2
Call of Duty 3	platforms	Wii
Call of Duty 3	platforms	PlayStation 3
Dronfield railway station	platforms	2
Alfreton railway station	platforms	2
Langley Mill railway station	platforms	2
Tokyo Xtreme Racer	platforms	Dreamcast
Tokyo Xtreme Racer	platforms	PlayStation Portable
Sheep	platforms	PlayStation
Sheep	platforms	Microsoft Windows
Sheep	platforms	Game Boy Advance
Sheep	platforms	OS X
Lost Kingdoms	platforms	Nintendo GameCube
Heroes of the Pacific	platforms	Xbox
Heroes of the Pacific	platforms	Microsoft Windows
Heroes of the Pacific	platforms	PlayStation 2
Pwllheli railway station	platforms	1
Sudbury railway station	platforms	1
Old Roan railway station	platforms	2
Bere Ferrers railway station	platforms	1
Glazebrook railway station	platforms	2
Sankey railway station	platforms	2
Filton Abbey Wood railway station	platforms	3
Warrington Central railway station	platforms	2
Birchwood railway station	platforms	2
Padgate railway station	platforms	2
Eureka!	platforms	Commodore 64
Eureka!	platforms	ZX Spectrum
Castle Cary railway station	platforms	3
Helensburgh Central railway station	platforms	3
Helensburgh Upper railway station	platforms	1
Total Overdose	platforms	Microsoft Windows
Total Overdose	platforms	PlayStation 2
Total Overdose	platforms	Xbox
ShadowWraith	platforms	Macintosh
Brookwood railway station	platforms	2
Su-27 Flanker	platforms	MS-DOS
Su-27 Flanker	platforms	Windows 95
Intellivision World Series Baseball	platforms	Intellivision
Trizeal	platforms	Arcade game
Trizeal	platforms	Dreamcast
Trizeal	platforms	PlayStation 2
Trizeal	platforms	I-mode
Trizeal	platforms	Yahoo Mobile
Trizeal	platforms	EzWeb
Raster Blaster	platforms	Apple II
Raster Blaster	platforms	Atari 8-bit family
Westbury railway station	platforms	3
Sandhills railway station	platforms	2
Allerton railway station	platforms	2
Garston	platforms	2
Snakes	platforms	Nokia N-Gage
Snakes	platforms	S60 platform
Liverpool South Parkway railway station	platforms	6
Widnes railway station	platforms	2
Hough Green railway station	platforms	2
West Allerton railway station	platforms	4
Halewood railway station	platforms	2
Mossley Hill railway station	platforms	4
Chassen Road railway station	platforms	2
Humphrey Park railway station	platforms	2
Irlam railway station	platforms	2
Urmston railway station	platforms	2
Flixton railway station	platforms	2
Trafford Park railway station	platforms	2
Wavertree Technology Park railway station	platforms	2
Runcorn railway station	platforms	2
Acton Bridge railway station	platforms	3
Sea Dragon	platforms	TRS-80
Sea Dragon	platforms	Apple II
Sea Dragon	platforms	Atari 8-bit
Sea Dragon	platforms	Commodore 64
Sea Dragon	platforms	TRS-80 Color Computer
Sea Dragon	platforms	IBM PC
Dung Beetles	platforms	Apple II family
Dung Beetles	platforms	Atari 8-bit family
Dung Beetles	platforms	TRS-80
Legends of Wrestling II	platforms	PlayStation 2
Legends of Wrestling II	platforms	Xbox
Legends of Wrestling II	platforms	Nintendo GameCube
Legends of Wrestling II	platforms	Game Boy Advance
Osu! Tatakae! Ouendan	platforms	Nintendo DS
Haru no Ashioto	platforms	Microsoft Windows
Haru no Ashioto	platforms	PlayStation 2
Solstice	platforms	Nintendo Entertainment System
Revenant	platforms	Microsoft Windows
Tumblepop	platforms	Arcade game
Tumblepop	platforms	Game Boy
Tumblepop	platforms	Virtual Console
Sheep, Dog 'n' Wolf	platforms	*
Sheep, Dog 'n' Wolf	platforms	Microsoft Windows
Sheep, Dog 'n' Wolf	platforms	PlayStation
Tokyo Xtreme Racer 2	platforms	Dreamcast
Tokyo Xtreme Racer: Zero	platforms	PlayStation 2
Ace Combat Zero: The Belkan War	platforms	PlayStation 2
Star Wars: Behind the Magic	platforms	Microsoft Windows
Pokémon Trozei!	platforms	Nintendo DS
Longniddry railway station	platforms	2
Chepstow railway station	platforms	2
Tokyo Xtreme Racer 3	platforms	PlayStation 2
Disaster Report	platforms	PlayStation 2
Disaster Report	platforms	PlayStation Network
Guitar Hero	platforms	PlayStation 2
Galactic Pinball	platforms	Virtual Boy
Bradford Interchange	platforms	4
Blitz: The League	platforms	PlayStation 2
Blitz: The League	platforms	Xbox
Blitz: The League	platforms	Xbox 360
Blitz: The League	platforms	PlayStation Portable
Football Manager 2006	platforms	Microsoft Windows
Football Manager 2006	platforms	Mac OS X
Football Manager 2006	platforms	Xbox 360
Football Manager 2006	platforms	PlayStation Portable
Namco Museum Battle Collection	platforms	PlayStation Portable
Stellar 7	platforms	Apple II
Stellar 7	platforms	Commodore 64
Stellar 7	platforms	Amiga
Stellar 7	platforms	DOS
Stellar 7	platforms	Mac OS
Rise 2: Resurrection	platforms	PlayStation
Rise 2: Resurrection	platforms	Sega Saturn
Rise 2: Resurrection	platforms	Personal Computer
Online Bomberman	platforms	Personal computer
St Germans railway station	platforms	2
Majesty: The Fantasy Kingdom Sim	platforms	Microsoft Windows
Majesty: The Fantasy Kingdom Sim	platforms	Linux
Majesty: The Fantasy Kingdom Sim	platforms	Mac OS
Majesty: The Fantasy Kingdom Sim	platforms	Android
Majesty: The Fantasy Kingdom Sim	platforms	Symbian
Majesty: The Fantasy Kingdom Sim	platforms	IOS
Majesty: The Fantasy Kingdom Sim	platforms	Windows Phone
Danescourt railway station	platforms	2
Treforest Estate railway station	platforms	2
Ninian Park railway station	platforms	2
Normanton railway station	platforms	2
Outwood railway station	platforms	2
Woodlesford railway station	platforms	2
Castleford railway station	platforms	2
Oxford railway station	platforms	3
Southampton Central railway station	platforms	5
NES Play Action Football	platforms	NES, Game Boy, Wii
King's Valley	platforms	MS-DOS
King's Valley	platforms	MSX
King's Valley	platforms	ZX Spectrum
Streethouse railway station	platforms	2
Pontefract Monkhill railway station	platforms	2
Pontefract Tanshelf railway station	platforms	2
Featherstone railway station	platforms	2
Glasshoughton railway station	platforms	2
Knottingley railway station	platforms	2
Menheniot railway station	platforms	2
The Outfit	platforms	Xbox 360
Torico	platforms	Sega Saturn
Liskeard railway station	platforms	3
Dave Mirra Freestyle BMX 2	platforms	PlayStation 2
Dave Mirra Freestyle BMX 2	platforms	Nintendo GameCube
Dave Mirra Freestyle BMX 2	platforms	Game Boy Advance
Dave Mirra Freestyle BMX 2	platforms	Xbox
Shin Megami Tensei If...	platforms	Super Nintendo Entertainment System
Shin Megami Tensei If...	platforms	PlayStation
Shin Megami Tensei If...	platforms	Microsoft Windows
Shin Megami Tensei If...	platforms	Virtual Console
Shin Megami Tensei If...	platforms	Android
Shin Megami Tensei If...	platforms	IOS
Disney's Cartoon Arcade	platforms	View-Master Interactive Vision
Tony La Russa Baseball	platforms	Commodore 64
Tony La Russa Baseball	platforms	Sega Genesis
Tony La Russa Baseball	platforms	MS-DOS
Tony La Russa Baseball	platforms	Microsoft Windows
Scions of Fate	platforms	Personal computer game
Bodmin Parkway railway station	platforms	3
East Midlands Parkway railway station	platforms	4
Stranglehold	platforms	Microsoft Windows
Stranglehold	platforms	PlayStation 3
Stranglehold	platforms	Xbox 360
Disgaea 2	platforms	PlayStation 2
Disgaea 2	platforms	PlayStation Portable
Disgaea 2	platforms	Microsoft Windows
Disgaea 2	platforms	MacOS
Disgaea 2	platforms	Linux
Hertford North railway station	platforms	3
Kemp Town railway station	platforms	1
Space Rangers	platforms	Microsoft Windows
Cosmic Rift	platforms	Microsoft Windows
The Bard's Tale Construction Set	platforms	Amiga
The Bard's Tale Construction Set	platforms	DOS
Bubble Memories	platforms	Arcade game
Bubble Memories	platforms	PlayStation 2
Assault	platforms	Arcade game
EyeToy: Kinetic	platforms	PlayStation 2
Possession	platforms	PlayStation 3
Possession	platforms	Xbox 360
Possession	platforms	Microsoft Windows
Shinsetsu Samurai Spirits Bushidō Retsuden	platforms	Neo Geo CD
Shinsetsu Samurai Spirits Bushidō Retsuden	platforms	PlayStation
Shinsetsu Samurai Spirits Bushidō Retsuden	platforms	Sega Saturn
Tom Clancy's Splinter Cell: Double Agent	platforms	GameCube
Tom Clancy's Splinter Cell: Double Agent	platforms	Microsoft Windows
Tom Clancy's Splinter Cell: Double Agent	platforms	PlayStation 2
Tom Clancy's Splinter Cell: Double Agent	platforms	PlayStation 3
Tom Clancy's Splinter Cell: Double Agent	platforms	Xbox
Tom Clancy's Splinter Cell: Double Agent	platforms	Xbox 360
Tom Clancy's Splinter Cell: Double Agent	platforms	Wii
Pulseman	platforms	Sega Mega Drive
The Silver Lining	platforms	Microsoft Windows
Tales of Rebirth	platforms	PlayStation 2
Tales of Rebirth	platforms	PlayStation Portable
Tales of Destiny 2	platforms	PlayStation 2
Tales of Destiny 2	platforms	PlayStation Portable
Tales of the Abyss	platforms	PlayStation 2
Tales of the Abyss	platforms	Nintendo 3DS
Maesteg	platforms	1
Waun-gron Park railway station	platforms	2
Fairwater railway station	platforms	2
Maesteg railway station	platforms	1
Jane's AH-64D Longbow	platforms	PC /
Z	platforms	MS-DOS
Z	platforms	PlayStation
Z	platforms	Sega Saturn
Z	platforms	Microsoft Windows
Z	platforms	Macintosh
Z	platforms	IOS
Z	platforms	Android
Ribbit King	platforms	GameCube
Ribbit King	platforms	PlayStation 2
Ribbit King	platforms	PlayStation
Home Alone 2	platforms	Super Nintendo Entertainment System
Home Alone 2	platforms	Nintendo Entertainment System
Home Alone 2	platforms	Sega Genesis
Home Alone 2	platforms	Game Boy
Home Alone 2	platforms	MS-DOS
Newick and Chailey railway station	platforms	2
Bonecruncher	platforms	Acorn Electron
Bonecruncher	platforms	BBC Micro
Bonecruncher	platforms	Commodore 64
Bonecruncher	platforms	Commodore Amiga
Exit	platforms	PlayStation Portable, Xbox 360 , Nintendo DS
Fishguard Harbour railway station	platforms	1
Shattered Union	platforms	Xbox
Shattered Union	platforms	Microsoft Windows
Redline	platforms	Mac OS X
Starglider 2	platforms	Amiga
Starglider 2	platforms	Atari ST
Starglider 2	platforms	DOS
Starglider 2	platforms	Macintosh
Starglider 2	platforms	ZX Spectrum
Delta Force: Black Hawk Down – Team Sabre	platforms	Microsoft Windows
Delta Force: Black Hawk Down – Team Sabre	platforms	Mobile phone
Delta Force: Black Hawk Down – Team Sabre	platforms	PlayStation 2
Hengoed railway station	platforms	2
Hull Paragon Interchange	platforms	6
Brunswick railway station	platforms	2
Darkwatch	platforms	PlayStation 2
Darkwatch	platforms	Xbox
EyeToy: Play 3	platforms	PlayStation 2
Blinx 2	platforms	Xbox
RHEM	platforms	Microsoft Windows
RHEM	platforms	Macintosh
Knightmare	platforms	MSX home computer
Freeway	platforms	Atari 2600
Dead or Alive 4	platforms	Xbox 360
The Goonies	platforms	MSX
Bad Day L.A.	platforms	Microsoft Windows
King's Valley II	platforms	MSX
Big Karnak	platforms	Arcade game
Old Time Baseball	platforms	MS-DOS
Galaxian 3	platforms	Arcade game
Galaxian 3	platforms	PlayStation
Tank Battalion	platforms	Arcade game
Tank Battalion	platforms	MSX
Tank Battalion	platforms	VIC-20
Tank Battalion	platforms	X68000
Missing in Action	platforms	Arcade game
Rockman EXE The Medal Operation	platforms	Arcade game
Crystal's Pony Tale	platforms	Sega Mega Drive
Manchester Central railway station	platforms	9
Trio The Punch – Never Forget Me...	platforms	Arcade game
Trio The Punch – Never Forget Me...	platforms	PlayStation 2
Trio The Punch – Never Forget Me...	platforms	Mobile game
Momoko 120%25	platforms	Arcade game
Momoko 120%25	platforms	Family Computer
Populous II: Trials of the Olympian Gods	platforms	Amiga
Populous II: Trials of the Olympian Gods	platforms	Atari ST
Populous II: Trials of the Olympian Gods	platforms	MS-DOS
Populous II: Trials of the Olympian Gods	platforms	Mac OS
Populous II: Trials of the Olympian Gods	platforms	Mega Drive
Populous II: Trials of the Olympian Gods	platforms	NEC PC-9801
Populous II: Trials of the Olympian Gods	platforms	Super Nintendo Entertainment System
Special Forces	platforms	PC , Amiga, Atari ST
Rome: Total Realism	platforms	IBM PC compatible
Rome: Total Realism	platforms	Macintosh
New Pudsey railway station	platforms	2
Bramley	platforms	2
Halifax railway station	platforms	2
Lea Green railway station	platforms	2
Brighouse railway station	platforms	2
Huddersfield railway station	platforms	6
Warhammer 40,000: Dawn of War – Winter Assault	platforms	IBM PC compatible
Xenon	platforms	Arcade game
Xenon	platforms	Atari ST
Xenon	platforms	Commodore Amiga
Xenon	platforms	Personal computer
Xenon	platforms	ZX Spectrum
Xenon	platforms	Amstrad CPC
Xenon	platforms	Commodore 64
Xenon	platforms	MSX
Bio Miracle Bokutte Upa	platforms	Family Computer Disk System, Family Computer, Mobile Phones , Wii , Nintendo 3DS , Wii U
West Kirby railway station	platforms	2
Stronghold	platforms	MS-DOS
Bidston railway station	platforms	2
Mario Hoops 3-on-3	platforms	Nintendo DS
Genji: Dawn of the Samurai	platforms	PlayStation 2
Rollcage	platforms	PlayStation
Rollcage	platforms	Microsoft Windows
Space Dungeon	platforms	Arcade game
Space Dungeon	platforms	Atari 5200
4x4 EVO 2	platforms	Microsoft Windows
4x4 EVO 2	platforms	MacOS
4x4 EVO 2	platforms	Xbox
4x4 EVO 2	platforms	GameCube
4x4 EVO 2	platforms	PlayStation 2
Pro Evolution Soccer 5	platforms	Microsoft Windows
Pro Evolution Soccer 5	platforms	PlayStation 2
Pro Evolution Soccer 5	platforms	PlayStation Portable
Pro Evolution Soccer 5	platforms	Xbox
Swindon railway station	platforms	4
Dynasty Warriors 5	platforms	PlayStation 2
Dynasty Warriors 5	platforms	Xbox
Dynasty Warriors 5	platforms	Xbox 360
Dynasty Warriors 5	platforms	Microsoft Windows
Dynasty Warriors 5	platforms	PlayStation Network
Delta Force: Task Force Dagger	platforms	Microsoft Windows
Konami 80's Arcade Gallery	platforms	Arcade game
Konami 80's Arcade Gallery	platforms	PlayStation
The Outforce	platforms	Microsoft Windows
Gateway to the Savage Frontier	platforms	Commodore 64
Gateway to the Savage Frontier	platforms	Amiga
Gateway to the Savage Frontier	platforms	MS-DOS
Freshly-Picked Tingle's Rosy Rupeeland	platforms	Nintendo DS
Densetsu no Stafy 4	platforms	Nintendo DS
Magical Starsign	platforms	Nintendo DS
Bomberman Story DS	platforms	Nintendo DS
Crosswords DS	platforms	Nintendo DS
Castlevania: Portrait of Ruin	platforms	Nintendo DS
Apollo Justice: Ace Attorney	platforms	Nintendo DS
Apollo Justice: Ace Attorney	platforms	IOS
Apollo Justice: Ace Attorney	platforms	Android
Monster Truck Madness	platforms	Windows 95
New Brighton railway station	platforms	2
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies	platforms	Game Boy Advance
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies	platforms	GameCube
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies	platforms	PlayStation 2
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies	platforms	Xbox
Guru Logi Champ	platforms	Game Boy Advance
Guru Logi Champ	platforms	Nintendo DSi
Return Fire	platforms	3
Farnborough	platforms	2
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion	platforms	Game Boy Advance
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion	platforms	GameCube
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion	platforms	PlayStation 2
Alfred Chicken	platforms	Amiga
Alfred Chicken	platforms	Amiga CD32
Alfred Chicken	platforms	Nintendo Entertainment System
Alfred Chicken	platforms	Game Boy
Alfred Chicken	platforms	Super Nintendo Entertainment System
Plumpton railway station	platforms	2
Leeds Central railway station	platforms	8
Nottingham Victoria railway station	platforms	12
Uttoxeter railway station	platforms	2
Hoyle's Official Book of Games	platforms	MS-DOS
Hoyle's Official Book of Games	platforms	Macintosh
Hoyle's Official Book of Games	platforms	Amiga
Hoyle's Official Book of Games	platforms	Atari ST
I'm Sorry	platforms	Arcade game
Treasures of the Savage Frontier	platforms	Amiga
Treasures of the Savage Frontier	platforms	MS-DOS
Flood	platforms	Amiga
Flood	platforms	Atari ST
Flood	platforms	Game Boy Advance
Far Cry Instincts	platforms	Xbox
Cheyenne	platforms	Arcade game
Who Dunit	platforms	Arcade game
XOR	platforms	ZX Spectrum
XOR	platforms	Commodore 64
XOR	platforms	Amstrad CPC
XOR	platforms	Amiga
XOR	platforms	Atari ST
XOR	platforms	Acorn Electron
XOR	platforms	BBC Micro
Billericay railway station	platforms	2
Wonder Momo	platforms	Arcade, PC Engine, Wii , Android, Microsoft Windows, Mobile
Pac-Man World 3	platforms	PlayStation 2
Pac-Man World 3	platforms	Nintendo GameCube
Pac-Man World 3	platforms	Xbox
Pac-Man World 3	platforms	Nintendo DS
Pac-Man World 3	platforms	PlayStation Portable
Pac-Man World 3	platforms	Microsoft Windows
Dragon Quest Monsters: Caravan Heart	platforms	Game Boy Advance
Disciples II: Dark Prophecy	platforms	Personal computer
Disciples II: Dark Prophecy	platforms	Linux
Conway Park railway station	platforms	2
Birkenhead Park railway station	platforms	2
Birkenhead North railway station	platforms	3
Game Boy Wars	platforms	Game Boy line
Game Boy Wars	platforms	Game Boy
Game Boy Wars	platforms	Game Boy Color
The Patrician	platforms	Amiga
The Patrician	platforms	Atari ST
The Patrician	platforms	DOS
The Suffering: Ties That Bind	platforms	PlayStation 2
The Suffering: Ties That Bind	platforms	Xbox
The Suffering: Ties That Bind	platforms	Microsoft Windows
The Lord of the Rings: The Return of the King	platforms	PlayStation 2
The Lord of the Rings: The Return of the King	platforms	Xbox
The Lord of the Rings: The Return of the King	platforms	GameCube
The Lord of the Rings: The Return of the King	platforms	Microsoft Windows
The Lord of the Rings: The Return of the King	platforms	Game Boy Advance
The Lord of the Rings: The Return of the King	platforms	Mobile game
The Lord of the Rings: The Return of the King	platforms	OS X
Shrak	platforms	PC
Ash Vale railway station	platforms	2
Craven Arms railway station	platforms	2
Harrier Attack	platforms	Amstrad CPC
Harrier Attack	platforms	Commodore 64
Harrier Attack	platforms	Oric 1
Harrier Attack	platforms	ZX Spectrum
Pen-y-Bont railway station	platforms	1
Cilmeri railway station	platforms	1
Broome railway station	platforms	1
Builth Road railway station	platforms	1
Shotton railway station	platforms	4
Stubbs the Zombie in Rebel Without a Pulse	platforms	Xbox
Stubbs the Zombie in Rebel Without a Pulse	platforms	Mac OS X
Stubbs the Zombie in Rebel Without a Pulse	platforms	Microsoft Windows
Stubbs the Zombie in Rebel Without a Pulse	platforms	Xbox 360
Animaniacs: The Great Edgar Hunt	platforms	GameCube
Animaniacs: The Great Edgar Hunt	platforms	Xboxref|The Xbox version of this game is not compatible with Xbox 360.|group=\
Animaniacs: The Great Edgar Hunt	platforms	PlayStation 2
Laser Hawk	platforms	Atari 8-bit family
Aquaman: Battle for Atlantis	platforms	Nintendo GameCube
Aquaman: Battle for Atlantis	platforms	Xbox
Shinobi Legions	platforms	Sega Saturn
Asterix & Obelix XXL	platforms	PlayStation 2
Asterix & Obelix XXL	platforms	GameCube
Asterix & Obelix XXL	platforms	Microsoft Windows
Asterix & Obelix XXL	platforms	Game Boy Advance
ATV Quad Power Racing 2	platforms	GameCube
ATV Quad Power Racing 2	platforms	PlayStation 2
ATV Quad Power Racing 2	platforms	Xbox
Kelvedon railway station	platforms	2
Golden Axe Warrior	platforms	Sega Master System
Golden Axe Warrior	platforms	PlayStation 3
Golden Axe Warrior	platforms	Xbox 360
Jade Cocoon: Story of the Tamamayu	platforms	PlayStation
Jade Cocoon: Story of the Tamamayu	platforms	PlayStation Network
Dig Dug: Digging Strike	platforms	Nintendo DS
Showdown: Legends of Wrestling	platforms	PlayStation 2
Showdown: Legends of Wrestling	platforms	Xbox
Needham Market railway station	platforms	2
Harwich International railway station	platforms	3
Rakugakids	platforms	Nintendo 64
Lionheart: Legacy of the Crusader	platforms	Microsoft Windows
The Eternal Dagger	platforms	Apple II
The Eternal Dagger	platforms	Atari 8-bit
The Eternal Dagger	platforms	Commodore 64
Super Hydlide	platforms	MSX
Super Hydlide	platforms	MSX2
Super Hydlide	platforms	NEC PC-8801
Super Hydlide	platforms	Famicom
Super Hydlide	platforms	Sega Genesis
Super Hydlide	platforms	Sharp X68000
Star Wars: The Empire Strikes Back	platforms	Arcade game
Fleet railway station	platforms	2
Hook railway station	platforms	2
Winchfield railway station	platforms	2
Lostwithiel railway station	platforms	2
Bruton railway station	platforms	2
Bad Boys: Miami Takedown	platforms	Nintendo GameCube
Bad Boys: Miami Takedown	platforms	Microsoft Windows
Bad Boys: Miami Takedown	platforms	PlayStation 2
Bad Boys: Miami Takedown	platforms	Xbox
Tea Society of a Witch	platforms	IBM PC compatible
Tea Society of a Witch	platforms	DVD
Ghosthunter	platforms	PlayStation 2
Church Stretton railway station	platforms	2
Gobowen railway station	platforms	2
Sango Fighter	platforms	MS-DOS
Sango Fighter	platforms	Super A'Can
Sango Fighter	platforms	PC-9801
Air-Sea Battle	platforms	Atari 2600
Me & My Katamari	platforms	PlayStation Portable
Project Firestart	platforms	Commodore 64
Raiden Fighters 2	platforms	Arcade game
Raiden Fighters 2	platforms	Microsoft Windows
Bug!	platforms	Sega Saturn
Bug!	platforms	Microsoft Windows
Dangun Feveron	platforms	Arcade game
Dangun Feveron	platforms	PlayStation 4
Mushiking: The King of Beetles	platforms	Arcade Game
Contra: Legacy of War	platforms	PlayStation
Contra: Legacy of War	platforms	Sega Saturn
ShadowCaster	platforms	DOS
Ring King	platforms	Arcade game
Ring King	platforms	Nintendo Entertainment System
Ring King	platforms	MSX
Ring King	platforms	Mobile phone
SNK vs. Capcom: SVC Chaos	platforms	Arcade game
SNK vs. Capcom: SVC Chaos	platforms	Neo Geo AES
SNK vs. Capcom: SVC Chaos	platforms	PlayStation 2
SNK vs. Capcom: SVC Chaos	platforms	Xbox
Vegas Stakes	platforms	Super Nintendo Entertainment System
